,yrmts,ppt
834,1964jul,13.47999954
835,1964jun,10.89000034
836,1964mar,2.5
837,1964may,6.5
838,1964nov,4.139999866
839,1964oct,9.579999924
840,1964sep,10.19999981
841,1965apr,6.400000095
842,1965aug,14.17000008
843,1965dec,0.99000001
844,1965feb,2.309999943
845,1965jan,3.329999924
846,1965jul,12.81000042
847,1965jun,9.909999847
848,1965mar,3.660000086
849,1965may,7.809999943
850,1965nov,5.920000076
851,1965oct,9.359999657
852,1965sep,9.430000305
853,1966apr,7.110000134
854,1966aug,13.96000004
855,1966dec,3.890000105
856,1966feb,1
857,1966jan,1.480000019
858,1966jul,11.92000008
859,1966jun,12.07999992
860,1966mar,3.75999999
861,1966may,9.130000114
862,1966nov,6.429999828
863,1966oct,8.529999733
864,1966sep,11.46000004
865,1967apr,1.809999943
866,1967aug,16.09000015
867,1967dec,1.899999976
868,1967feb,3.329999924
869,1967jan,2.829999924
870,1967jul,15.02000046
871,1967jun,11.52000046
872,1967mar,2.460000038
873,1967may,8.850000381
874,1967nov,7.239999771
875,1967oct,10.19999981
876,1967sep,12.89999962
877,1968apr,5.75
878,1968aug,12.31999969
879,1968dec,0.920000017
880,1968feb,5.710000038
881,1968jan,1.120000005
882,1968jul,13.93999958
883,1968jun,12.72999954
884,1968mar,4.760000229
885,1968may,8.130000114
886,1968nov,4.809999943
887,1968oct,7.71999979
888,1968sep,11.97999954
889,1969apr,4.650000095
890,1969aug,13.97000027
891,1969dec,4.900000095
892,1969feb,0.75
893,1969jan,0.660000026
894,1969jul,13.97999954
895,1969jun,11.63000011
896,1969mar,2.75999999
897,1969may,9.890000343
898,1969nov,3.450000048
899,1969oct,8.449999809
900,1969sep,12.56999969
901,1970apr,3.420000076
902,1970aug,12.28999996
903,1970dec,2.359999895
904,1970feb,4.380000114
905,1970jan,4.920000076
906,1970jul,14.19999981
907,1970jun,12.39999962
908,1970mar,5.070000172
909,1970may,10.61999989
910,1970nov,6.380000114
911,1970oct,6.760000229
912,1970sep,11.75
913,1971apr,3.829999924
914,1971aug,13.90999985
915,1971dec,-0.209999993
