,yrmts,ppt
880,1969apr,101.1999969
881,1969aug,0
882,1969dec,26.5
883,1969feb,17.21999931
884,1969jan,13.17000008
885,1969jul,0.910000026
886,1969jun,4.769999981
887,1969mar,60.11999893
888,1969may,136.9700012
889,1969nov,24.92000008
890,1969oct,54.84999847
891,1969sep,0.639999986
892,1970apr,96.66000366
893,1970aug,0
894,1970dec,17.60000038
895,1970feb,40
896,1970jan,26.5
897,1970jul,0
898,1970jun,8.539999962
899,1970mar,71.40000153
900,1970may,78.84999847
901,1970nov,37.29999924
902,1970oct,40.52000046
903,1970sep,0.569999993
904,1971apr,97.69999695
905,1971aug,1.429999948
906,1971dec,11.56999969
907,1971feb,31.27000046
908,1971jan,22.47999954
909,1971jul,0
910,1971jun,1.519999981
911,1971mar,53.59999847
912,1971may,118.2300034
913,1971nov,33.18999863
914,1971oct,7.300000191
915,1971sep,7.650000095
916,1972apr,101.9000015
917,1972aug,1.129999995
918,1972dec,12.30000019
919,1972feb,35.40999985
920,1972jan,14.39999962
921,1972jul,0.99000001
922,1972jun,3.900000095
923,1972mar,74.59999847
924,1972may,72.23000336
925,1972nov,33.79999924
926,1972oct,73.69999695
927,1972sep,25.46999931
928,1973apr,113.5999985
929,1973aug,1.659999967
930,1973dec,24.29999924
931,1973feb,37.20000076
932,1973jan,16.54000092
933,1973jul,0.939999998
934,1973jun,0.189999998
935,1973mar,55.58000183
936,1973may,71.94000244
937,1973nov,33.5
938,1973oct,74.09999847
939,1973sep,15.93000031
940,1974apr,98.40000153
941,1974aug,1.779999971
942,1974dec,21.55999947
943,1974feb,25.60000038
944,1974jan,16.43000031
945,1974jul,27.87000084
946,1974jun,0.99000001
947,1974mar,64.90000153
948,1974may,127.0899963
949,1974nov,24.26000023
950,1974oct,32.97000122
951,1974sep,0
952,1975apr,85.06999969
953,1975aug,4.239999771
954,1975dec,22.37999916
955,1975feb,28.30999947
956,1975jan,20.68000031
957,1975jul,6.519999981
958,1975jun,0.879999995
959,1975mar,61.70000076
960,1975may,134.3099976
961,1975nov,34.29999924
962,1975oct,73.5
963,1975sep,0.579999983
964,1976apr,52.38999939
965,1976aug,31.04000092
966,1976dec,18.60000038
967,1976feb,30.42000008
968,1976jan,8.350000381
969,1976jul,0.529999971
970,1976jun,3.829999924
971,1976mar,29.96999931
972,1976may,0.230000004
973,1976nov,30.90999985
974,1976oct,8.850000381
975,1976sep,12.46000004
976,1977apr,37.97000122
977,1977aug,1.25
978,1977dec,26.20000076
979,1977feb,41
980,1977jan,20.25
981,1977jul,0.889999986
982,1977jun,1.830000043
983,1977mar,58.65999985
984,1977may,37.86000061
985,1977nov,37.79999924
986,1977oct,15.92000008
987,1977sep,47.27000046
988,1978apr,98.09999847
989,1978aug,0.300000012
990,1978dec,15.96000004
991,1978feb,37.5
992,1978jan,26.70000076
993,1978jul,0
994,1978jun,8.979999542
995,1978mar,74.40000153
996,1978may,161.3999939
997,1978nov,32.66999817
998,1978oct,0
999,1978sep,38.5
1000,1979apr,102.8000031
1001,1979aug,1.470000029
1002,1979dec,25.11000061
1003,1979feb,29.23999977
1004,1979jan,18.46999931
1005,1979jul,0.360000014
1006,1979jun,0.639999986
1007,1979mar,68.30000305
1008,1979may,142.0200043
1009,1979nov,34.59999847
1010,1979oct,77.59999847
1011,1979sep,2.00999999
1012,1980apr,106.3000031
1013,1980aug,0
1014,1980dec,24.70000076
1015,1980feb,38.79999924
1016,1980jan,23.32999992
1017,1980jul,3.309999943
1018,1980jun,5.989999771
1019,1980mar,58.56000137
1020,1980may,122.9700012
1021,1980nov,8.140000343
1022,1980oct,10.22999954
