id,seed_mass_g
Acacia_mabellae,15.76
Acacia_macilenta,62.82
Acacia_macnuttiana,26.27
Acacia_macracantha,35.52
Acacia_macrostachya,68.17
Acacia_maidenii,13.1
Acacia_maitlandii,9.83
Acacia_mangium,14.6
Acacia_mayana,250
Acacia_mearnsii,13.2
Acacia_megacephala,7.73
Acacia_meiantha,5.62
Acacia_meisneri,42.02
Acacia_melanoxylon,13
Acacia_melleodora,8.44
Acacia_mellifera,65.18
Acacia_mellifera,80.28
Acacia_menzelii,7.87
Acacia_merrallii,0.57
Acacia_merrickiae,17.57
Acacia_microbotrya,28.67
Acacia_microcarpa,6.1
Acacia_millefolia,83.4
Acacia_minutifolia,6.924
Acacia_mitchellii,15.47
Acacia_modesta,31.8
Acacia_mollifolia,20.29
Acacia_montana,10.4
Acacia_monticola,31.02
Acacia_montigena,16.939
Acacia_montis-usti,341.77
Acacia_mosllissima,11.1
Acacia_mucronata,4.7
Acacia_mucronata,7.58
Acacia_mucronata,11.19
Acacia_multisiliqua,13.55
Acacia_multispicata,6.19
Acacia_murrayana,33.7
Acacia_mutabilis,7.07
Acacia_myrtifolia,9.4
Acacia_nana,25.08
Acacia_nanodealbata,11.18
Acacia_nematophylla,17.66
Acacia_neovernicosa,8.77
Acacia_neriifolia,27.4
Acacia_neurocarpa,10.63
Acacia_neurophylla,3.35
Acacia_neurophylla,4.39
Acacia_nigrescens,180.83
Acacia_nigripilosa,13.56
Acacia_nilotica,110
Acacia_nilotica,135.85
Acacia_nilotica,136.56
Acacia_nilotica,150.7
Acacia_nilotica,158.28
Acacia_nilotica,168.57
Acacia_nilotica,183
Acacia_nodiflora,21.55
Acacia_notabilis,15.74
Acacia_nova-anglica,41.14
Acacia_nubica,70.24
Acacia_obliquinervia,26.4
Acacia_obtusata,17.8
Acacia_obtusifolia,21.22
Acacia_occidentalis,230.8
Acacia_oerfota,76.3
Acacia_oerfota,92.68
Acacia_olsenii,35.9
Acacia_ophiolithica,1.84
Acacia_oraria,33
Acacia_origena,94
Acacia_oshanseii,14.1
Acacia_oswaldii,79.4
Acacia_oxycedrus,28.8
Acacia_pachycarpa,175
Acacia_paolii,91.16
Acacia_papulosa,4.91
Acacia_paradoxa,14
Acacia_parramattensis,9.38
Acacia_parvipinnula,11.89
Acacia_pedina,14.4
Acacia_pendula,21.3
Acacia_pennata,76.33
Acacia_pennatula,78.8
Acacia_penninervis,44.2
Acacia_penninervis,67.27
Acacia_perangusta,9.245
Acacia_pervillei,43.49
Acacia_phaeocalyx,25.21
Acacia_phasmoides,14.73
Acacia_phlebocarpa,16.42
Acacia_piligera,32.25
Acacia_pilligaensis,9.04
Acacia_pinguiculosa,2.28
Acacia_pinguifolia,11.4
Acacia_platycarpa,219.77
Acacia_plectocarpa,22
Acacia_plicata,7.88
Acacia_podalyriifolia,32.3
Acacia_polyacantha,73
Acacia_polyacantha,79.27
Acacia_polybotrya,23.4
Acacia_polystachya,17.01
Acacia_prainii,41.09
Acacia_pravifolia,11.86
Acacia_pravissima,8.4
Acacia_pringlei,32.46
Acacia_prominens,15.5
Acacia_provincialis,11.48
Acacia_pruinocarpa,33.28
Acacia_pruinosa,27.1
Acacia_ptychoclada,12.39
Acacia_pubescens,6.464
Acacia_pubifolia,9.98
Acacia_pulchella,4.5
Acacia_pulchella,8.6
Acacia_pusilla,2.75
Acacia_pustula,17.97
Acacia_pycnantha,18.2
Acacia_pycnostachya,13.75
Acacia_pyrifolia,34.62
Acacia_pyrifolia,50.6
Acacia_quadrilateralis,10.64
Acacia_quornensis,17.4
Acacia_racospermoides,54.02
Acacia_raddiana,52.67
Acacia_ramulosa,68.02
Acacia_ramulosa,69.636
Acacia_ramulosa,87.4
Acacia_reficiens,29.97
Acacia_reficiens,64.06
Acacia_rehmanniana,78.91
Acacia_repanda,5.7
Acacia_resinimarginea,2.86
Acacia_retinodes,9.35
Acacia_retinodes,21.28
Acacia_retivenea,36.31
Acacia_retivenea,38.68
Acacia_rhetinocarpa,8.81
Acacia_rhigiophylla,4.26
Acacia_rhodophloia,3.19
Acacia_riceana,9.16
Acacia_rigens,37.17
Acacia_rigidula,24.65
Acacia_riparia,127.12
Acacia_robusta,111.7
Acacia_robusta,162.84
Acacia_robynsiana,167.76
Acacia_roemeriana,170.88
Acacia_rossei,35.93
Acacia_rostellifera,18.34
Acacia_rothii,219.48
Acacia_rubida,14.68
Acacia_rupicola,20.48
Acacia_ruppii,19.81
Acacia_sakalava,46.51
Acacia_saliciformis,23.27
Acacia_salicina,47.8
Acacia_saligna,14.71
Acacia_saligna,16
Acacia_schaffneri,108
Acacia_schinoides,15.6
Acacia_schweinfurthii,112.69
Acacia_scirpifolia,23.13
Acacia_sclerophylla,3.9
Acacia_sclerosperma,134.22
Acacia_sclerosperma,352.3
Acacia_sekhukhuniensis,45.32
Acacia_semirigida,27.8
Acacia_senegal,75
Acacia_senegal,105.63
Acacia_senegal,191.96
Acacia_sertiformis,43.16
Acacia_sessiliceps,80.54
Acacia_seyal,31.27
Acacia_seyal,41.01
Acacia_seyal,47.74
Acacia_shirleyi,13
Acacia_sibirica,13.61
Acacia_siculiformis,9.2
Acacia_sieberiana,251
Acacia_sieberiana,307.49
Acacia_sieberiana,312.76
Acacia_silvestris,21.58
Acacia_simmonsiana,5.62
Acacia_simsii,48.78
Acacia_sophorae,18.2
Acacia_sp.,64
Acacia_spectabilis,24.5
Acacia_spilleriana,27.01
Acacia_spinescens,5.6
Acacia_splendens,26.43
Acacia_spondylophylla,12.64
Acacia_spooneri,18.21
Acacia_sporadica,17.61
Acacia_squamata,8.78
Acacia_standleyi,11.46
Acacia_startii,23.31
Acacia_steedmanii,9.76
Acacia_steedmanii,23.39
Acacia_stellaticeps,12.89
Acacia_stenophylla,123.34
Acacia_stereophylla,3.13
Acacia_stereophylla,3.19
Acacia_stipuligera,10.24
Acacia_stricta,5.7
Acacia_strongylophylla,18.15
Acacia_stuhlmannii,153
Acacia_suaveolens,29.7
Acacia_subangulata,543.55
Acacia_subcaerulea,34.93
Acacia_subporosa,9.5
Acacia_subracemosa,3.91
Acacia_subulata,23.09
Acacia_sulcata,2.48
Acacia_sundra,133.3
Acacia_sutherlandii,289.02
Acacia_swazica,27.88
Acacia_tanganyikensis,167
Acacia_telmica,24.53
Acacia_tenuissima,6.85
Acacia_terminalis,22.29
Acacia_terminalis,34.4
Acacia_tetragonophylla,13.5
Acacia_tetraneura,4.33
Acacia_tindaleae,13.7
Acacia_toondulya,18.83
Acacia_torringtonensis,15.3
Acacia_tortilis,27.1
Acacia_tortilis,43.64
Acacia_tortilis,58.61
Acacia_tortilis,61.5
Acacia_tortilis,69
Acacia_tortilis,69.01
Acacia_tortuosa,59.52
Acacia_torulosa,56.04
Acacia_trachycarpa,37.21
Acacia_trachyphloia,9.27
Acacia_tratmaniana,3.09
Acacia_trinervata,14.72
Acacia_trineura,6.9
Acacia_triptera,5.37
Acacia_triquetra,5.49
Acacia_tropica,8.64
Acacia_truncata,5.26
Acacia_tumida,42.69
Acacia_tumida,50.5
Acacia_ulicifolia,12.2
Acacia_ulicina,5.09
Acacia_umbellata,6.52
Acacia_uncinata,62.5
Acacia_undosa,2.41
Acacia_undulifolia,30.27
Acacia_undulifolia,37.45
Acacia_venulosa,11.6
Acacia_verniciflua,11.7
Acacia_veronica,25.85
Acacia_verticillata,11.49
Acacia_vestita,25.8
Acacia_victoriae,36.5
Acacia_victoriae,44.59
Acacia_viscidula,6.3
Acacia_vittata,11.91
Acacia_wattsiana,14.27
Acacia_whibleyana,6.08
Acacia_wilhelmiana,5.9
Acacia_willardiana,60.8
Acacia_williamsiana,12.37
Acacia_wrightii,63.18
Acacia_xanthophloea,34
Acacia_xiphophylla,71.23
Acacia_yorkrakinensis,15.21
Acacia_zanzibarica,27.69
Acaciella_angustissima,10.82
Acaena_alpina,70.2
Acaena_anserinifolia,1.26
Acaena_argentea,0.78
Acaena_echinata,8.29
Acaena_fissistipula,1.07
Acaena_lucida,2.41
Acaena_magellanica,1.44
Acaena_novae-zelandiae,1.61
Acaena_ovalifolia,0.89
Acaena_pallida,2.98
Acaena_pinnatifida,8.9
Acalypha_australis,0.99
Acalypha_ciliata,0.87
Acalypha_havanensis,0.8
Acalypha_indica,0.61
Acalypha_lanceolata,0.59
Acalypha_ornata,1.08
Acalypha_ostryifolia,1.77
